label,cond1,cond2,cond3,cond4,item,sentence,alternative,group
chow_rev_low_115_10,chow,rev,low,10,115,The security guard investigated which loiterer the patrolman had evaded for three hours.,x-x-x whatever tears quantitative sweet isometry sir fecundity pre valour song broke wants.,list2
chow_rev_high_116_9,chow,rev,high,9,116,The farmer indicated which donkey the townsperson had bought in the neighboring village.,x-x-x learnt copyright heard refine anti rationalize yeah window cell pre transmitted herself.,list2
chow_rev_low_116_9,chow,rev,low,9,116,The farmer indicated which townsperson the donkey had bought in the neighboring village.,x-x-x learnt copyright heard rationalize anti refine yeah window cell pre transmitted herself.,list1
chow_rev_high_117_9,chow,rev,high,9,117,The reporter inquired which animals the groomer had cleaned with special shampoo.,x-x-x reminded cavities trust achieve holy dukedom mid sheriff uses edition bullpen.,list1
chow_rev_low_117_9,chow,rev,low,9,117,The reporter inquired which groomer the animals had cleaned with special shampoo.,x-x-x reminded cavities trust dukedom holy achieve mid sheriff uses edition bullpen.,list2
chow_rev_high_118_10,chow,rev,high,10,118,The dance instructor noticed which onlookers the performers had impressed in the audience.,x-x-x apart incomplete awesome agree reanimate lake undertaken lord ownership slow link suggests.,list2
chow_rev_low_118_10,chow,rev,low,10,118,The dance instructor noticed which performers the onlookers had impressed in the audience.,x-x-x apart incomplete awesome agree undertaken lake reanimate lord ownership slow link suggests.,list1
chow_rev_high_119_10,chow,rev,high,10,119,The jail keeper forgot which guard the prisoner had attacked in his cell.,x-x-x rely genres extent coast learn sir annually fact external bar ask whom.,list1
chow_rev_low_119_10,chow,rev,low,10,119,The jail keeper forgot which prisoner the guard had attacked in his cell.,x-x-x rely genres extent coast annually sir learn fact external bar ask whom.,list2
chow_rev_high_120_10,chow,rev,high,10,120,The Indian king identified which prince the elephant had trampled during the long journey.,x-x-x Caught okay completion focus partake fact reaffirm data modifier handle look fund protect.,list2
chow_rev_low_120_10,chow,rev,low,10,120,The Indian king identified which elephant the prince had trampled during the long journey.,x-x-x Caught okay completion focus reaffirm fact partake data modifier handle look fund protect.,list1
chow_rev_high_121_10,chow,rev,high,10,121,The undead king recognized which woman the zombie had bitten during the fight.,x-x-x peruse calm meaningful learn befit sir tonnes van suites coffee drop meant.,list1
chow_rev_low_121_10,chow,rev,low,10,121,The undead king recognized which zombie the woman had bitten during the fight.,x-x-x peruse calm meaningful learn tonnes sir befit van suites coffee drop meant.,list2
chow_rev_high_122_9,chow,rev,high,9,122,The nanny knew which housekeeper the billionaire had hired from their conversation.,x-x-x borne zero stock hospitalize wall tranquilize okay boost lake sense unbelievable.,list2
chow_rev_low_122_9,chow,rev,low,9,122,The nanny knew which billionaire the housekeeper had hired from their conversation.,x-x-x borne zero stock tranquilize wall hospitalize okay boost lake sense unbelievable.,list1
chow_rev_high_123_9,chow,rev,high,9,123,The policeman knew which suspect the detective had arrested for the recent crime.,x-x-x modernize cool apply approve mid reanimate sell classify hill tree create apart.,list1
chow_rev_low_123_9,chow,rev,low,9,123,The policeman knew which detective the suspect had arrested for the recent crime.,x-x-x modernize cool apply reanimate mid approve sell classify hill tree create apart.,list2
chow_rev_high_124_9,chow,rev,high,9,124,The priest knew which demon the exorcist had expelled with a cross.,x-x-x behave loss build versa sir dedicate nice ridicule dine vote apart.,list2
chow_rev_low_124_9,chow,rev,low,9,124,The priest knew which exorcist the demon had expelled with a cross.,x-x-x behave loss build dedicate sir versa nice ridicule dine vote apart.,list1
chow_rev_high_125_9,chow,rev,high,9,125,The four-year-old knew which hero the dragon had eaten for dinner last night.,x-x-x characterised duty study pray app bailey dad rainy anti thinks cent weird.,list1
chow_rev_low_125_9,chow,rev,low,9,125,The four-year-old knew which dragon the hero had eaten for dinner last night.,x-x-x characterised duty study bailey app pray dad rainy anti thinks cent weird.,list2
chow_rev_high_126_9,chow,rev,high,9,126,The researcher learned which whale the biologist had studied in the lab.,x-x-x contacting eastern china fined pre earmarked zero faculty join held cuts.,list2
chow_rev_low_126_9,chow,rev,low,9,126,The researcher learned which biologist the whale had studied in the lab.,x-x-x contacting eastern china earmarked pre fined zero faculty join held cuts.,list1
chow_rev_high_127_10,chow,rev,high,10,127,The military man knew which soldiers the general had promoted after their tour.,x-x-x whatever mid hill offer polarize pre realize cent workshop wants hoist none.,list1
